# License: CC-BY 4.0 International
# Source: https://nanocommons.github.io/specifications/jrc/
JRCNM01000a,ENM_9000074,Q27918612,
JRCNM01001a,ENM_9000075,Q47461406,
JRCNM01002a,ENM_9000076,Q47461416,
JRCNM01003a,ENM_9000083,Q47461418,
JRCNM01004a,ENM_9000084,Q47461419,
JRCNM01005a,ENM_9000077,Q47461422,ERM00000064
JRCNM01100a,ENM_9000078,Q47462004,
JRCNM01101a,ENM_9000086,Q47462008,
JRCNM02000a,ENM_9000087,Q47462022,
JRCNM02001a,ENM_9000088,Q47468470,
JRCNM02002a,ENM_9000089,Q47468473,
JRCNM02003a,ENM_9000090,Q78642247,
JRCNM02004a,ENM_9000091,Q47468478,
JRCNM02004b,ENM_9000092,Q78642927,
JRCNM02101a,ENM_9000237,Q78643426,
JRCNM02102a,ENM_9000238,Q47461933,
JRCNM03000a,ENM_9000255,Q94632421,
JRCNM03300a,ENM_9000097,Q58631733,
JRCNM03301a,ENM_9000098,Q78598603,
JRCNM04000a,ENM_9000080,Q47462019,
JRCNM04001a,ENM_9000081,Q47462603,
JRCNM04002a,,Q47462617,
JRCNM04003a,,Q47462619,
JRCNM06000a,,Q115929958,
JRCNM10200a,ENM_9000231,Q87125303,
JRCNM10201a,ENM_9000094,Q78603081,
JRCNM10202a,ENM_9000232,Q87124091,
JRCNM10404,ENM_9000093,Q58630711,
JRCNM40001a,,Q116032622
JRCNM40002a,,Q116032623
JRCNM40003a,,Q115764312
JRCNM40004a,,Q116032625
JRCNM40005a,,Q116032626
JRCNM40006a,,Q116032627
JRCNM40007a,,Q116032629
JRCNM40008a,,Q116032630
JRCNM40009a,,Q116032631
JRCNM40010a,,Q116032633
JRCNM40011a,ENM_9000258,Q113720986,
JRCNM46000a,,Q116032634,
JRCNM48001a,,Q115930118,
JRCNM50001a,ENM_9000256,Q94632692,
JRCNM62001a,ENM_9000095,Q75188647,
JRCNM62002a,ENM_9000096,Q75188523,
JRCNM62101a,ENM_9000079,Q75188316,
