# License: CC-BY 4.0 International
# Source: https://nanocommons.github.io/specifications/nanomile/
NP00262,ERM00000326
NP00263,ERM00000327
NP00264,ERM00000328
NP00806,ERM00000329
NP00266,ERM00000330
NP00267,ERM00000331
NP00268,ERM00000332
NP00807,ERM00000333
NP00269,ERM00000334
NP00270,ERM00000335
NP00271,ERM00000336
NP00808,ERM00000337
NP00483,ERM00000338
NP00484,ERM00000339
NP00485,ERM00000340
NP00272,ERM00000341
NP00273,ERM00000342
NP00274,ERM00000343
NP00275,ERM00000344
NP00276,ERM00000345
NP00277,ERM00000346
NP00278,ERM00000347
NP00279,ERM00000348
NP00280,ERM00000349
NP00477,ERM00000361
NP00478,ERM00000362
NP00479,ERM00000363
NP00480,ERM00000364
NP00475,ERM00000366
NP00474,ERM00000367
NP00221,ERM00000368
NP00222,ERM00000369
NP00223,ERM00000370
NP00224,ERM00000371
NP00225,ERM00000372
NP00226,ERM00000373
NP00462,ERM00000374
NP00251,ERM00000375
NP00463,ERM00000376
NP00216,ERM00000377
NP00217,ERM00000378
NP00218,ERM00000379
NP00219,ERM00000380
NP00220,ERM00000381
NP00432,ERM00000382
NP00443,ERM00000383
NP00444,ERM00000384
NP00445,ERM00000385
NP00446,ERM00000386
NP00447,ERM00000387
NP00448,ERM00000388
NP00449,ERM00000389
NP00450,ERM00000390
NP00451,ERM00000391
NP00452,ERM00000392
NP00453,ERM00000393
NP00454,ERM00000394
NP00455,ERM00000395
